read12,math12,catholic,female,white,black,hisp,faminc8
61.41,49.77,1,0,1,0,0,10
58.34,59.84,1,0,1,0,0,10
59.330002,50.380001,1,1,1,0,0,10
49.59,45.029999,1,1,1,0,0,10
57.619999,54.259998,1,1,1,0,0,11
60.119999,55.369999,1,1,1,0,0,7
64.690002,65.07,1,0,1,0,0,10
48.189999,47.970001,1,0,1,0,0,10
42.09,53.98,1,0,1,0,0,10
60.23,62.720001,1,0,1,0,0,8
58.25,52.049999,1,1,1,0,0,11
63.950001,63.860001,1,1,1,0,0,10
43.150002,45.540001,1,1,1,0,0,8
60.279999,62.5,1,1,1,0,0,10
63.57,58.77,1,0,1,0,0,8
55.400002,63.43,1,0,1,0,0,11
45.790001,51.509998,1,0,1,0,0,11
58.200001,50.02,1,1,1,0,0,11
59.279999,64.139999,1,0,1,0,0,11
63.310001,63.5,1,0,1,0,0,10
59.310001,48.759998,1,0,1,0,0,12
55.900002,44.32,1,0,1,0,0,4
54.860001,40.68,1,0,1,0,0,10
44.450001,45.650002,1,1,1,0,0,10
56.919998,50.880001,1,0,1,0,0,11
41.740002,35.25,0,1,0,0,1,9
61.299999,63.23,0,1,1,0,0,11
42.07,43.119999,0,1,1,0,0,5
45.98,61.290001,0,0,1,0,0,11
44.169998,37.060001,0,1,1,0,0,12
56.799999,64.110001,0,1,1,0,0,11
62.619999,66.260002,0,0,1,0,0,11
57.330002,65.93,0,0,0,0,0,12
67.510002,63.540001,0,0,0,1,0,10
50.189999,49.209999,0,1,0,1,0,11
37.099998,47.939999,0,0,1,0,0,12
40.310001,56.630001,0,0,1,0,0,12
39.799999,35.060001,0,0,1,0,0,11
60.959999,66.459999,0,0,1,0,0,11
41.98,49.91,0,1,1,0,0,11
54.299999,53.889999,0,1,1,0,0,11
56.41,61.939999,0,0,1,0,0,10
53.43,46.150002,0,1,0,0,0,10
66.519997,69.720001,0,1,0,0,0,12
54.450001,50.389999,0,0,1,0,0,10
45.25,41.799999,0,0,1,0,0,6
51.580002,40.75,0,1,1,0,0,8
42.470001,34.439999,0,0,1,0,0,9
49.049999,36.209999,0,1,1,0,0,8
58.889999,55.509998,0,1,1,0,0,8
52.209999,48.279999,0,0,1,0,0,11
43.049999,43.380001,0,0,1,0,0,4
32.43,46.459999,0,0,1,0,0,10
